;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
0.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;232.0;0.0283
1.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;32.0;0.0039
2.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;628.0;0.0766
3.0;16.0;rok, let, výroba, spoleènost, stroj, firma, projekt, èeský, závod, historie;108.0;0.0132
4.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;424.0;0.0517
5.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;217.0;0.0265
6.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;643.0;0.0785
7.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;480.0;0.0586
8.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;407.0;0.0497
9.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;197.0;0.024
10.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;22.0;0.0027
11.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;5.0;0.0006
12.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;38.0;0.0046
13.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;136.0;0.0166
14.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;2105.0;0.2569
15.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;197.0;0.024
16.0;16.0;rok, let, výroba, spoleènost, stroj, firma, projekt, èeský, závod, historie;228.0;0.0278
17.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;71.0;0.0087
18.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;1683.0;0.2054
19.0;10.0;závod, ferrari, spacex, týden, karanténa, polo¾ka, hrdina, bøezen, raketa, øíct;341.0;0.0416
20.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
21.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
22.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
23.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
24.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
25.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
26.0;2.0;èlovìk, svìt, rok, let, pes, americký, francouzský, herec, psát, divadlo;;
27.0;11.0;extraliga, extraligový, medaile, sourozenec, turnaj, lev, olympijský_hra, èeský, finálový, ms;;
28.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
29.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
30.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
31.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
32.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
33.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
34.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
35.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
36.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
37.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
38.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
39.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
40.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
41.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
42.0;15.0;ruský, øíct, rozhovor, uvést, premiér, zpìvaèka, ¹éf, ministr, funkce, pochlubit;;
43.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
44.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
45.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
46.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
47.0;14.0;zápas, tým, sezona, bod, gól, hráè, hrát, utkání, vyhrát, domácí;;
48.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
49.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
50.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
51.0;10.0;závod, ferrari, spacex, týden, karanténa, polo¾ka, hrdina, bøezen, raketa, øíct;;
52.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
53.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
54.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
55.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
56.0;12.0;byt, prodej, procent, lokalita, hypotéka, rùst, bydlení, èeský, prùmìr, pøípad;;
57.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
58.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
59.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
60.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
61.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
62.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
63.0;5.0;lékaø, nemocnice, pacient, nemoc, péèe, problém, stav, legenda, sùl, jít;;
64.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
65.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
66.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
67.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
68.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
69.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
70.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
71.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
72.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
73.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
74.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
75.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
76.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
77.0;8.0;¾ena, mu¾, dítì, let, soud, syn, rok, rodina, man¾el, pøípad;;
78.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
79.0;19.0;test, èlovìk, kruhový_objezd, opatøení, firma, bøezen, testování, pøípad, mìsíc, systém;;
80.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
81.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
82.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
83.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
84.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
85.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
86.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
87.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
88.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
89.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
90.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
91.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
92.0;0.0;zákon, zamìstnanec, firma, vláda, návrh, uvést, koruna, úøad, pøíjem, platit;;
93.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
94.0;6.0;rok, model, cena, trh, procent, koruna, znaèka, vysoký, let, verze;;
95.0;4.0;auto, vùz, aut, øidiè, vozidlo, elektrický, jízda, pøe, kilometr, ¹koda;;
96.0;7.0;èína, procent, vakcína, evropský, èínský, èlovìk, výroba, pøípad, oèkování, poèet;;
97.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
98.0;9.0;volba, øíct, vláda, pøedseda, vedení, hlas, svaz, kandidát, ¹éf, kraj;;
99.0;18.0;automobilka, øíkat, rok, znaèka, jít, let, èlovìk, nìjaký, èas, práce;;
