Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5669093247573161
75% Corpus,2,0.01,0.51,0.5565231264266945
75% Corpus,2,0.01,symmetric,0.5565231264266945
75% Corpus,2,0.51,0.01,0.5669093247573161
75% Corpus,2,0.51,0.51,0.5565231264266945
75% Corpus,2,0.51,symmetric,0.5565231264266945
75% Corpus,2,symmetric,0.01,0.5669093247573161
75% Corpus,2,symmetric,0.51,0.5565231264266945
75% Corpus,2,symmetric,symmetric,0.5565231264266945
75% Corpus,2,asymmetric,0.01,0.5669093247573161
75% Corpus,2,asymmetric,0.51,0.5565231264266945
75% Corpus,2,asymmetric,symmetric,0.5565231264266945
100% Corpus,2,0.01,0.01,0.27539473328674674
100% Corpus,2,0.01,0.51,0.307156193258538
100% Corpus,2,0.01,symmetric,0.327271790100677
100% Corpus,2,0.51,0.01,0.2793344349686807
100% Corpus,2,0.51,0.51,0.29549734743482514
100% Corpus,2,0.51,symmetric,0.307593586753226
100% Corpus,2,symmetric,0.01,0.25824354848993225
100% Corpus,2,symmetric,0.51,0.307593586753226
100% Corpus,2,symmetric,symmetric,0.31721667989490493
100% Corpus,2,asymmetric,0.01,0.3234766881447325
100% Corpus,2,asymmetric,0.51,0.35598022036346355
100% Corpus,2,asymmetric,symmetric,0.307593586753226
