,jde-li-o-kybernetiku-nikdy-nejsme-v-bezpeci,online-banik-hosti-bohemians-liberec-hraje-s-teplicemi-a-jablonec-proti-boleslavi,coefficient
spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.6291469,1.5444784,2.1736252
online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.17638342,2.5568762,2.7332597
fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.51563644,1.9914423,2.5070786
stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.72638255,0.5279592,1.2543418
trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.40461063,2.63319,3.0378006
slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.13688144,2.8399103,2.9767916
online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.06926694,2.2935698,2.3628368
sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.29605153,1.1496449,1.4456964
trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.6205569,1.9346921,2.555249
recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.6026408,0.5193542,1.121995
