,user_id,slug_x,ratings_values
0,3124,na-co-zira-masinfira-jizda-odstrkovanou-drahou-do-chornic-je-vyhlidkova,5
5,3124,podzimni-prechod-hostynskych-vrchu-vas-zavede-do-obycejneho-krasneho-sveta,5
8,3124,svetovy-pohar-v-hokeji-se-2024-konat-nebude-nhl-turnaj-planuje-o-rok-pozdeji,5
9,3124,horory-jako-posilovna-rekreacni-strach-nas-trenuje-rika-veda,5
1,3124,milujete-pomerance-doprejte-je-v-koupelne-celemu-telu,4
2,3124,program-ms-ve-florbale-cesi-jsou-ve-finale-poslednim-souperem-bude-svedsko,4
3,3124,cesti-ragbiste-porazili-ve-treti-divizi-mistrovstvi-evropy-moldavsko,4
4,3124,vedouci-pribram-remizovala-s-chrudimi-jihlava-porazila-rezervu-sigmy,4
6,3124,svycari-vypravili-nejdelsi-vlak-na-svete-souprava-merila-dva-kilometry,4
7,3124,cesky-prehraly-americanky-a-jsou-v-semifinale-bjk-cupu-zazarila-siniakova,4
10,3124,jak-voli-fotbal-na-okresech-ukazuje-odvahu-pocity-mam-ale-smisene-rika-lipa,4
11,3124,kabat-si-zahraje-v-letnanech,4
12,3124,banik-doma-dal-ctyri-goly-uspely-i-teplice-a-mlada-boleslav-v-jablonci,4
13,3124,cesko-finsko-5-2-poctivy-vykon-s-dobrym-pohybem-prvni-vyhra-v-sezone,4
14,3124,slavia-na-tezkem-terenu-skobrtla-plzen-vyhrala-slovacko-uz-je-treti,4
15,3124,mlha-pomohla-teplicim-k-vyhre-a-vyautovala-var-idealni-smal-se-jarosik,4
