slug,spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,online-banik-hosti-bohemians-liberec-hraje-s-teplicemi-a-jablonec-proti-boleslavi,trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,jde-li-o-kybernetiku-nikdy-nejsme-v-bezpeci,stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem
spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.9999999999999996,0.5267664063418419,0.5473203780498693,0.5177125722340769,0.5418971015276334,0.531948560468267,0.5572771656531931,0.011997602911009419,0.0073154148580878795,0.016239784386886363,0.0036809160697403864,0.006686029655454482
online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.5267664063418419,0.9999999999999998,0.5220082708993301,0.5295435011111086,0.5221549035045575,0.52686389862088,0.5454821055705907,0.004491470469101892,0.006965358067522464,0.007646241534710893,0.011814300028807763,0.0014993726431702821
fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.5473203780498693,0.5220082708993301,1.0,0.5395635609449398,0.568920714147207,0.5547781898773793,0.5653556275209122,0.023199152499527476,0.016519907852470175,0.07827541762349718,0.0,0.0026784884763491387
online-banik-hosti-bohemians-liberec-hraje-s-teplicemi-a-jablonec-proti-boleslavi,0.5177125722340769,0.5295435011111086,0.5395635609449398,1.0000000000000002,0.5268734255128217,0.544044042755175,0.5308945376735411,0.003091936457073743,0.012075169211813107,0.0813271302469328,0.015572782906833994,0.003848161284953213
trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.5418971015276334,0.5221549035045575,0.568920714147207,0.5268734255128217,0.9999999999999993,0.5417259761430249,0.5515343212295788,0.011270544303542084,0.009843863988659307,0.01701605300865447,0.0,0.006765753553618732
slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.531948560468267,0.52686389862088,0.5547781898773793,0.544044042755175,0.5417259761430249,0.999999999999999,0.5658155069683395,0.03356931292002821,0.02451649058329794,0.05798783396037982,0.010286339055747145,0.009667797892283957
trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.5572771656531931,0.5454821055705907,0.5653556275209122,0.5308945376735411,0.5515343212295788,0.5658155069683395,0.9999999999999989,0.01063382673167054,0.0093031174120445,0.030691232939303915,0.008641699953050166,0.0030100760330586387
jde-li-o-kybernetiku-nikdy-nejsme-v-bezpeci,0.011997602911009419,0.004491470469101892,0.023199152499527476,0.003091936457073743,0.011270544303542084,0.03356931292002821,0.01063382673167054,1.0000000000000062,0.01394108595739573,0.0012429297754875637,0.004004498183479691,0.004420969611199392
stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.0073154148580878795,0.006965358067522464,0.016519907852470175,0.012075169211813107,0.009843863988659307,0.02451649058329794,0.0093031174120445,0.01394108595739573,1.000000000000001,0.006792227712160159,0.0059361806892985446,0.0035984527563634482
online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.016239784386886363,0.007646241534710893,0.07827541762349718,0.0813271302469328,0.01701605300865447,0.05798783396037982,0.030691232939303915,0.0012429297754875637,0.006792227712160159,1.0000000000000002,0.011796183316584741,0.005959497968769677
sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.0036809160697403864,0.011814300028807763,0.0,0.015572782906833994,0.0,0.010286339055747145,0.008641699953050166,0.004004498183479691,0.0059361806892985446,0.011796183316584741,1.0000000000000004,0.5064361514608369
recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.006686029655454482,0.0014993726431702821,0.0026784884763491387,0.003848161284953213,0.006765753553618732,0.009667797892283957,0.0030100760330586387,0.004420969611199392,0.0035984527563634482,0.005959497968769677,0.5064361514608369,1.0000000000000009
