slug,online-banik-hosti-bohemians-liberec-hraje-s-teplicemi-a-jablonec-proti-boleslavi,jde-li-o-kybernetiku-nikdy-nejsme-v-bezpeci
spanelsko-v-generalce-na-ms-porazilo-jordansko-ghana-zdolala-svycarsko,0.5177125722340769,0.011997602911009419
online-cesko-faerske-ostrovy-4-0-hattrick-chytila-ctvrty-gol-dava-cerny,0.5295435011111086,0.004491470469101892
fotbalisty-jablonce-ceka-v-podzimnim-louceni-boleslav-liberec-zase-teplice,0.5395635609449398,0.023199152499527476
trener-jalonen-po-svycarsku-vykon-spatny-nebyl-ale-rozhodly-nase-chyby,0.5268734255128217,0.011270544303542084
slavia-v-lize-mistryn-dil-treti-zensky-fotbal-si-zaslouzi-respekt-zni-z-klubu,0.544044042755175,0.03356931292002821
trpky-konec-velke-kariery-misto-ms-odridi-cakir-pet-minut-zapasu-s-ceskem,0.5308945376735411,0.01063382673167054
stredocesky-kraj-pocita-dalsich-10-let-s-dieselovymi-vlaky-cast-lokalek-skonci,0.012075169211813107,0.01394108595739573
online-teplice-jdou-v-poharu-dal-hraje-liberec-a-pozdeji-i-slavia,0.0813271302469328,0.0012429297754875637
sting-se-svymi-nejvetsimi-hity-zamiri-pristi-rok-do-pardubic,0.015572782906833994,0.004004498183479691
recenze-druha-trava-micha-bluegrass-s-psychedelickym-rockem,0.003848161284953213,0.004420969611199392
