Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,1,10,158,20,0,25,0.0,0,0.5698608689167374,1.8280795691727392e-29,0.5634433104787278,1.0484673240312955e-28,7.64872521246459,0.019488188976377954
iDnes.cz 100% Corpus,1,10,450,4,8,20,1e-05,0,0.3057590516494335,1.2613623037306865e-07,0.352815449586938,7.754084586870246e-10,18.69688385269122,0.019716885743174924
iDnes.cz 100% Corpus,0,5,450,8,1,20,1e-05,0,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,300,2,8,20,0.001,0,0.44357770161577426,2.894423755952883e-15,0.4488061600419624,1.247692382673261e-15,18.69688385269122,0.014661274014155713
iDnes.cz 100% Corpus,0,15,250,5,3,25,0.0,0,0.10728965426022317,0.05675835895619181,0.0374008331055852,0.5076836263542623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,158,20,5,30,0.0001,0,0.5905445965689254,4.682579417556573e-30,0.6086543134398356,2.6676530908756965e-32,13.59773371104816,0.0332823259372609
iDnes.cz 100% Corpus,0,5,158,16,8,30,0.01,0,0.004293495948952643,0.9422681983934234,-0.07570980320107142,0.20095196150118091,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,50,16,2,30,0.1,0,0.14164294030952657,0.010938757169037945,0.12038010589635363,0.030803464699523955,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,15,250,5,5,25,0.001,0,0.5133928828681109,6.557458190689059e-22,0.5306801412889735,1.479124541160553e-23,13.59773371104816,0.0225707727620505
iDnes.cz 100% Corpus,0,5,158,8,3,20,1e-05,0,0.09313780753580927,0.09839461249352208,0.022425363907383616,0.6912847603389536,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,10,158,4,1,20,0.01,0,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,20,0,25,0.01,0,0.5693060067400184,2.1292985725805476e-29,0.5653270197876105,6.303950632968844e-29,7.64872521246459,0.020078740157480315
iDnes.cz 100% Corpus,1,15,250,8,12,20,0.01,0,0.5311584287052182,5.510755966336376e-21,0.5365344895674472,1.868520734783687e-21,23.79603399433428,0.028532608695652172
iDnes.cz 100% Corpus,1,15,300,16,8,20,1e-05,0,0.5539684845647469,1.7474424944458788e-24,0.545644351246889,1.1501693620086043e-23,18.69688385269122,0.019716885743174924
iDnes.cz 100% Corpus,1,10,200,20,2,20,0.0001,0,0.5900515366380611,1.3744226798908338e-31,0.575851211252885,7.787328103087294e-30,8.78186968838527,0.02280130293159609
iDnes.cz 100% Corpus,0,15,450,20,2,25,0.01,0,0.07296095330662526,0.191590982263554,-0.0015800753788882869,0.9774681889383903,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,450,16,1,20,0.0001,0,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,200,12,5,20,0.0,0,0.5722420139171976,6.303887016691441e-28,0.5657619207405803,3.326426032507165e-27,13.59773371104816,0.02180566182096404
iDnes.cz 100% Corpus,1,10,158,20,12,25,0.01,0,0.5333908518880071,3.525158943978498e-21,0.5407966630170457,7.817989456256259e-22,23.79603399433428,0.042798913043478264
iDnes.cz 100% Corpus,0,5,200,4,12,25,0.1,0,0.10693045710003136,0.08000699931283085,0.053429597770001495,0.3827429894629063,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,50,12,5,25,0.01,0,0.0774376782276058,0.17738062337403113,0.071132325332181,0.21544126583372666,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,10,100,16,0,30,1e-05,0,0.5454519597988874,1.151870271208532e-26,0.534062675380701,1.9547947647228995e-25,7.64872521246459,0.010826771653543307
iDnes.cz 100% Corpus,0,10,300,2,5,20,0.1,0,0.10475017328579589,0.06771473794733429,0.04400876859502441,0.44379809388326164,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,5,100,5,0,20,0.01,0,0.48832783345949693,6.127872540287662e-21,0.4936989603286403,1.9664260790511657e-21,7.64872521246459,0.012401574803149606
iDnes.cz 100% Corpus,0,15,158,4,2,20,0.0001,0,0.050392299611360936,0.36742157756986016,0.029159148114720715,0.6021451126749604,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,450,12,5,25,0.01,0,0.5630499895461578,6.600823173005253e-27,0.5625870483550562,7.415330526820774e-27,13.59773371104816,0.023718439173680182
iDnes.cz 100% Corpus,1,5,158,12,2,25,0.0001,0,0.5882344686198637,2.3296962821886226e-31,0.5661554575346157,1.097279766069292e-28,8.78186968838527,0.01678777248809822
iDnes.cz 100% Corpus,0,10,450,2,12,25,0.01,0,0.112638706412915,0.06508354486743452,0.04357977565323928,0.47660647134287315,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,158,2,12,25,0.1,0,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,158,8,2,25,0.1,0,0.050392299611360936,0.36742157756986016,0.029159148114720715,0.6021451126749604,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,5,158,8,0,30,0.001,0,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,200,8,1,20,0.001,0,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,100,16,8,30,0.0001,0,0.5646144620136381,1.451441770726391e-25,0.5724413930597648,2.1983481212225688e-26,18.69688385269122,0.03993933265925177
iDnes.cz 100% Corpus,1,15,450,5,12,25,0.001,0,0.48442720778599946,3.1028531730474866e-17,0.4939552935784443,5.929378457499409e-18,23.79603399433428,0.014266304347826086
iDnes.cz 100% Corpus,0,5,450,20,3,20,0.0001,0,0.05190761432993795,0.3577330073202929,-0.026563222422570587,0.638062186726347,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,5,250,2,12,20,0.01,0,0.15286450415960076,0.012064251071165072,0.07853009114002812,0.19915067158296804,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,250,2,0,25,0.0001,0,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,300,5,5,30,1e-05,0,0.10475017328579589,0.06771473794733429,0.04400876859502441,0.44379809388326164,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,158,5,0,20,0.0001,0,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,2,0,30,0.01,0,0.41990456775338336,2.344548931235187e-15,0.4311366740517411,3.448984331809721e-16,7.64872521246459,0.002952755905511811
iDnes.cz 100% Corpus,1,15,50,16,2,25,0.01,0,0.576797060708474,5.987622716961265e-30,0.5763472312762848,6.785482746866222e-30,8.78186968838527,0.016286644951140065
iDnes.cz 100% Corpus,1,5,50,2,5,25,0.0001,0,0.5057930628843834,3.246906878204064e-21,0.5070503610575947,2.4987947306159297e-21,13.59773371104816,0.011859219586840091
iDnes.cz 100% Corpus,1,5,50,12,12,20,0.0,0,0.5716567143427881,9.67957999837281e-25,0.5609608400768191,1.0663877677621663e-23,23.79603399433428,0.04076086956521739
iDnes.cz 100% Corpus,1,10,250,12,8,25,1e-05,0,0.5667790336283097,8.655366803136167e-26,0.5486779211548954,5.8232989784864006e-24,18.69688385269122,0.023761375126390292
iDnes.cz 100% Corpus,1,10,100,2,5,20,0.0001,0,0.47325918115440235,1.9824100714566517e-18,0.48133839914981086,4.2941097183057347e-19,13.59773371104816,0.017980107115531753
iDnes.cz 100% Corpus,0,10,300,8,12,30,1e-05,0,0.13038955330577698,0.03253920873315845,0.04757839530957776,0.4370702612013544,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,250,4,5,20,0.01,0,0.49698825746949316,1.9721883889274318e-20,0.5082540760791363,1.942661027447587e-21,13.59773371104816,0.02142310635042081
iDnes.cz 100% Corpus,1,10,300,16,8,30,1e-05,0,0.5883838675997185,4.0085074268893076e-28,0.5741386388742594,1.4502512515520548e-26,18.69688385269122,0.041456016177957536
