Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,15,158,5,5,25,0.0,1,-0.0162354050474607,0.7776417746685168,-0.10995932492284277,0.05507392309575696,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,10,50,1,12,20,0.0001,1,0.059532670233643246,0.3306902599804178,0.05396996010869726,0.3779423805645281,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,10,250,20,12,25,0.0,1,0.15286450415960076,0.012064251071165072,0.07853009114002812,0.19915067158296804,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,200,20,2,25,0.0001,1,0.13244760426866836,0.01741014410743065,0.1065280278733131,0.05618729333186111,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,450,1,0,20,1e-05,1,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,100,5,0,25,0.001,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,158,5,12,30,0.001,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,200,1,12,20,1e-05,1,0.10693045710003136,0.08000699931283085,0.053429597770001495,0.3827429894629063,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,10,100,5,3,20,0.001,1,0.18134788878250366,0.001204455178331542,0.12922303392237577,0.021581306519832623,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,10,200,8,0,30,0.0,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,250,20,1,30,0.001,1,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,10,50,8,0,30,0.001,1,0.08330022030450562,0.13339254917414242,0.04684282994255569,0.3992377049804001,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,10,300,8,2,30,0.0,1,0.06197018595852744,0.2675351845448125,-0.004842125902341573,0.9310280625726277,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,100,5,12,20,1e-05,1,0.09764101702997909,0.11008876995423134,0.07033772954532357,0.2502770105284103,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,450,5,5,25,0.0001,1,0.04393189248874734,0.44459535975748443,-0.06229563596286715,0.27812856054313323,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,5,300,5,3,20,0.1,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,200,2,8,30,0.01,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,5,250,8,8,25,0.01,1,-0.03398530900763755,0.5663734390007212,-0.15312142084601688,0.009375234075170625,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,250,20,5,25,0.1,1,0.10286976577634986,0.07282460113033949,0.05040186571663755,0.38039210089172937,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,15,250,5,8,30,0.1,1,-0.03398530900763755,0.5663734390007212,-0.15312142084601688,0.009375234075170625,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,15,158,5,1,20,0.01,1,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,20,1,25,0.001,1,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,158,8,12,30,0.0001,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,5,200,2,1,30,0.01,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,50,5,12,20,0.0001,1,0.059532670233643246,0.3306902599804178,0.05396996010869726,0.3779423805645281,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,5,100,16,8,30,0.1,1,-0.0618906722064453,0.29605960907587003,-0.12376569276786234,0.036114396034958716,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,250,4,0,25,0.1,1,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,300,16,3,30,0.001,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,300,8,2,20,0.001,1,0.06197018595852744,0.2675351845448125,-0.004842125902341573,0.9310280625726277,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,158,5,2,30,1e-05,1,0.050392299611360936,0.36742157756986016,0.029159148114720715,0.6021451126749604,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,5,300,20,8,20,1e-05,1,0.08894003727310033,0.1328017894763796,-0.005706979533259885,0.9233131167457345,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,200,2,8,25,1e-05,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,250,20,1,25,1e-05,1,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,450,1,3,20,1e-05,1,0.05190761432993795,0.3577330073202929,-0.026563222422570587,0.638062186726347,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,15,250,20,0,30,0.0,1,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,158,5,5,20,0.1,1,-0.0162354050474607,0.7776417746685168,-0.10995932492284277,0.05507392309575696,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,100,20,5,30,1e-05,1,0.06217238017277531,0.27908238797482277,-0.024006628468973064,0.6762422176566585,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,5,200,8,1,30,0.01,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,300,4,5,20,0.1,1,0.10475017328579589,0.06771473794733429,0.04400876859502441,0.44379809388326164,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,10,100,8,3,30,0.0001,1,0.18134788878250366,0.001204455178331542,0.12922303392237577,0.021581306519832623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,100,5,0,30,0.0,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,10,250,8,8,30,0.0,1,-0.03398530900763755,0.5663734390007212,-0.15312142084601688,0.009375234075170625,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,100,1,2,25,0.0,1,0.05316032386293077,0.3416598759439638,0.014236134106375881,0.7991265079548873,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,100,2,1,20,0.0001,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,300,20,0,30,0.001,1,0.11289385363303299,0.04164618419646204,0.05989873482239756,0.28089360892114373,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,10,300,4,0,20,0.1,1,0.11289385363303299,0.04164618419646204,0.05989873482239756,0.28089360892114373,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,250,5,5,30,0.01,1,0.10286976577634986,0.07282460113033949,0.05040186571663755,0.38039210089172937,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,15,158,5,12,20,0.001,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,200,2,12,30,0.0,1,0.10693045710003136,0.08000699931283085,0.053429597770001495,0.3827429894629063,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,300,5,0,25,0.0,1,0.11289385363303299,0.04164618419646204,0.05989873482239756,0.28089360892114373,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,250,8,12,20,0.0,1,0.15286450415960076,0.012064251071165072,0.07853009114002812,0.19915067158296804,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,158,2,8,25,0.1,1,0.004293495948952643,0.9422681983934234,-0.07570980320107142,0.20095196150118091,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,15,100,1,2,30,1e-05,1,0.05316032386293077,0.3416598759439638,0.014236134106375881,0.7991265079548873,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,10,300,16,8,25,0.1,1,0.08894003727310033,0.1328017894763796,-0.005706979533259885,0.9233131167457345,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,200,1,1,30,0.01,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,300,4,12,30,0.001,1,0.13038955330577698,0.03253920873315845,0.04757839530957776,0.4370702612013544,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,10,100,4,12,30,0.001,1,0.09764101702997909,0.11008876995423134,0.07033772954532357,0.2502770105284103,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,5,158,1,3,30,0.01,1,0.09313780753580927,0.09839461249352208,0.022425363907383616,0.6912847603389536,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,200,1,2,25,0.0,1,0.13244760426866836,0.01741014410743065,0.1065280278733131,0.05618729333186111,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,15,300,1,8,30,1e-05,1,0.08894003727310033,0.1328017894763796,-0.005706979533259885,0.9233131167457345,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,5,300,12,3,20,0.0001,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,15,300,12,3,30,0.01,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,158,16,2,30,0.1,1,0.050392299611360936,0.36742157756986016,0.029159148114720715,0.6021451126749604,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,450,5,5,25,0.01,1,0.04393189248874734,0.44459535975748443,-0.06229563596286715,0.27812856054313323,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,15,100,5,0,20,0.001,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,1,1,20,0.1,1,0.07568172080871272,0.17282705081664015,0.013508431534628133,0.8080245233634342,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,12,5,30,1e-05,1,-0.0162354050474607,0.7776417746685168,-0.10995932492284277,0.05507392309575696,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,10,250,2,5,30,0.1,1,0.10286976577634986,0.07282460113033949,0.05040186571663755,0.38039210089172937,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,5,300,20,1,25,0.001,1,0.11289385363303299,0.04164618419646204,0.05989873482239756,0.28089360892114373,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,10,250,16,0,30,0.1,1,0.12954830044098545,0.019286862952128052,0.057238993389482365,0.30284471978359967,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,158,1,8,30,1e-05,1,0.004293495948952643,0.9422681983934234,-0.07570980320107142,0.20095196150118091,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,12,12,20,0.01,1,0.09764101702997909,0.11008876995423134,0.07033772954532357,0.2502770105284103,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,10,450,8,12,25,0.1,1,0.112638706412915,0.06508354486743452,0.04357977565323928,0.47660647134287315,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,10,100,5,3,25,0.1,1,0.18134788878250366,0.001204455178331542,0.12922303392237577,0.021581306519832623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,15,300,12,3,20,0.001,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,5,200,4,8,30,0.0,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,200,2,8,20,0.1,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,50,12,2,25,1e-05,1,0.14164294030952657,0.010938757169037945,0.12038010589635363,0.030803464699523955,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,5,50,20,1,25,0.0001,1,0.08330022030450562,0.13339254917414242,0.04684282994255569,0.3992377049804001,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,200,20,5,25,0.01,1,0.04249964023456032,0.4595968546678502,0.010599543975703559,0.8537324891991671,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,15,158,5,12,30,0.001,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,5,300,4,0,20,1e-05,1,0.11289385363303299,0.04164618419646204,0.05989873482239756,0.28089360892114373,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,10,250,5,12,25,0.0,1,0.15286450415960076,0.012064251071165072,0.07853009114002812,0.19915067158296804,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,158,16,3,30,1e-05,1,0.09313780753580927,0.09839461249352208,0.022425363907383616,0.6912847603389536,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,15,158,1,12,25,0.0,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,50,5,1,25,0.0,1,0.08330022030450562,0.13339254917414242,0.04684282994255569,0.3992377049804001,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,50,5,5,20,1e-05,1,0.0774376782276058,0.17738062337403113,0.071132325332181,0.21544126583372666,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,15,100,1,3,25,0.01,1,0.18134788878250366,0.001204455178331542,0.12922303392237577,0.021581306519832623,10.48158640226629,0.0
iDnes.cz 100% Corpus,0,5,158,4,8,25,0.01,1,0.004293495948952643,0.9422681983934234,-0.07570980320107142,0.20095196150118091,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,15,250,16,3,20,0.01,1,0.10728965426022317,0.05675835895619181,0.0374008331055852,0.5076836263542623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,200,12,8,20,0.1,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,450,4,8,30,1e-05,1,0.07670740112633251,0.19506355036243872,0.0053638247043087004,0.9279113189880518,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,5,50,2,0,20,0.0001,1,0.08330022030450562,0.13339254917414242,0.04684282994255569,0.3992377049804001,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,450,8,1,20,0.0001,1,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,450,1,1,30,0.0001,1,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,250,2,3,20,1e-05,1,0.10728965426022317,0.05675835895619181,0.0374008331055852,0.5076836263542623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,15,200,5,8,25,0.0,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,200,12,0,30,1e-05,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,450,4,12,25,0.0001,1,0.112638706412915,0.06508354486743452,0.04357977565323928,0.47660647134287315,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,300,1,8,30,0.0,1,0.08894003727310033,0.1328017894763796,-0.005706979533259885,0.9233131167457345,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,250,20,12,20,0.01,1,0.15286450415960076,0.012064251071165072,0.07853009114002812,0.19915067158296804,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,200,8,3,30,0.0001,1,0.053877292114246605,0.3397588807550694,-0.013483931024720288,0.8112943539584446,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,5,158,4,12,25,1e-05,1,0.08307677553452683,0.1742845259329768,0.03015394469950648,0.622457539315802,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,100,2,1,25,1e-05,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,10,450,20,8,20,0.0,1,0.07670740112633251,0.19506355036243872,0.0053638247043087004,0.9279113189880518,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,200,4,1,20,0.1,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,200,12,5,20,0.0,1,0.04249964023456032,0.4595968546678502,0.010599543975703559,0.8537324891991671,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,5,100,8,1,20,0.0,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,100,8,0,25,0.1,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,300,2,2,30,0.01,1,0.06197018595852744,0.2675351845448125,-0.004842125902341573,0.9310280625726277,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,200,4,8,25,0.01,1,0.05567217254752579,0.34734097978745926,-0.030462097826230147,0.607302481233335,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,200,5,1,20,0.001,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,200,2,0,20,0.1,1,0.04992662678530333,0.36889420143628004,-0.002261594177135021,0.9675531200432634,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,300,2,3,20,0.0,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,100,20,12,20,0.01,1,0.09764101702997909,0.11008876995423134,0.07033772954532357,0.2502770105284103,23.79603399433428,0.0
iDnes.cz 100% Corpus,1,10,200,20,2,20,0.001,1,0.13244760426866836,0.01741014410743065,0.1065280278733131,0.05618729333186111,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,15,200,1,2,20,0.0,1,0.13244760426866836,0.01741014410743065,0.1065280278733131,0.05618729333186111,8.78186968838527,0.0
iDnes.cz 100% Corpus,1,15,100,1,0,20,0.0001,1,0.054050637620653125,0.33061671939362114,0.007681696249406616,0.8901092867469114,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,15,300,4,3,25,0.0001,1,0.1300240053319067,0.02077654325376976,0.10050426882583986,0.07441675145239039,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,50,20,1,30,1e-05,1,0.08330022030450562,0.13339254917414242,0.04684282994255569,0.3992377049804001,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,200,20,12,30,0.0001,1,0.10693045710003136,0.08000699931283085,0.053429597770001495,0.3827429894629063,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,15,450,16,5,25,0.0001,1,0.04393189248874734,0.44459535975748443,-0.06229563596286715,0.27812856054313323,13.59773371104816,0.0
iDnes.cz 100% Corpus,1,10,250,20,2,30,0.01,1,0.07907936115663033,0.1568552035718655,0.009186075172485883,0.8695731939437005,8.78186968838527,0.0
