Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,15,200,5,8,30,0.0001,0,0.060369236906851684,0.3081145421458048,-0.011958133588170168,0.8401459959429313,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,50,5,5,20,0.001,0,0.07450079226347575,0.19443794138329956,0.05087578092452136,0.3759233850365433,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,5,100,8,8,25,0.0001,0,0.02634801127446691,0.6566863344314966,-0.028035140374727766,0.6362376909345104,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,100,20,3,25,1e-05,0,0.06796718847562294,0.2282740317696655,0.015715914079325526,0.7807956932877379,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,250,4,12,20,0.0001,0,0.5556056965219291,3.4327835699984664e-23,0.5518246168271879,7.738622983079646e-23,23.79603399433428,0.03736413043478261
iDnes.cz 100% Corpus,0,10,200,20,0,25,0.001,0,-0.005042371375027041,0.927736329821053,-0.0767447452667237,0.16685522851316945,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,158,1,0,25,0.01,0,0.02277477565893201,0.6820385650183645,0.0019581779126170216,0.9719042747072086,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,15,450,1,8,25,0.1,0,0.28038411166129773,1.389979144597176e-06,0.25842096747457194,9.234006990362006e-06,18.69688385269122,0.0020222446916076846
iDnes.cz 100% Corpus,1,10,200,1,8,20,1e-05,0,0.1427355481446276,0.015522901053088532,0.24126931753285216,3.616474342701551e-05,18.69688385269122,0.019211324570273004
iDnes.cz 100% Corpus,1,5,200,2,12,20,0.01,0,0.44846884832554024,1.0264225443816539e-14,0.4526168040430925,5.4396078603297325e-15,23.79603399433428,0.012907608695652174
iDnes.cz 100% Corpus,0,5,200,16,5,25,1e-05,0,-0.005306596022045397,0.9264630027818849,-0.06619354096586319,0.24909998390700258,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,300,16,12,20,0.0001,0,0.09189242374945013,0.13275867789771198,-0.013546356723516064,0.8249738615105867,23.79603399433428,0.0
iDnes.cz 100% Corpus,0,5,158,12,8,30,0.01,0,0.07193967850424794,0.22436932571668758,0.008974057165108728,0.879684062735478,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,10,158,20,0,25,0.0,0,0.5698608689167374,1.8280795691727392e-29,0.5634433104787278,1.0484673240312955e-28,7.64872521246459,0.019488188976377954
iDnes.cz 100% Corpus,1,10,450,4,8,20,1e-05,0,0.3057590516494335,1.2613623037306865e-07,0.352815449586938,7.754084586870246e-10,18.69688385269122,0.019716885743174924
iDnes.cz 100% Corpus,0,5,450,8,1,20,1e-05,0,0.12604443341693056,0.022837942591169984,0.06496450488713273,0.24212367666371673,7.64872521246459,0.0
iDnes.cz 100% Corpus,1,5,300,2,8,20,0.001,0,0.44357770161577426,2.894423755952883e-15,0.4488061600419624,1.247692382673261e-15,18.69688385269122,0.014661274014155713
iDnes.cz 100% Corpus,0,15,250,5,3,25,0.0,0,0.10728965426022317,0.05675835895619181,0.0374008331055852,0.5076836263542623,10.48158640226629,0.0
iDnes.cz 100% Corpus,1,10,158,20,5,30,0.0001,0,0.5905445965689254,4.682579417556573e-30,0.6086543134398356,2.6676530908756965e-32,13.59773371104816,0.0332823259372609
iDnes.cz 100% Corpus,0,5,158,16,8,30,0.01,0,0.004293495948952643,0.9422681983934234,-0.07570980320107142,0.20095196150118091,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,10,50,16,2,30,0.1,0,0.14164294030952657,0.010938757169037945,0.12038010589635363,0.030803464699523955,8.78186968838527,0.0
