;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
0.0;13.0;let, jít, vy, èasto, jak, pak, nìkolik, je¹tì, pøípad, nebo;;
1.0;13.0;let, jít, vy, èasto, jak, pak, nìkolik, je¹tì, pøípad, nebo;;
2.0;15.0;cena, ne¾, hodnì, stát, spoleènost, je¹tì, nìkolik, pøed, po, souèasný;;
3.0;16.0;po, tak, svùj, spoleènost, ale, jeho, kdy, v¹echen, toti¾, vedle;4.0;0.1818
4.0;16.0;po, tak, svùj, spoleènost, ale, jeho, kdy, v¹echen, toti¾, vedle;;
5.0;8.0;tak, pro, stát, první, hodnì, co, její, ne¾, kdy¾, svìt;;
6.0;14.0;podle, dítì, jeho, pro, tento, ale, po, svùj, tak, jeden;2.0;0.0909
7.0;6.0;moct, já, dva, my, v¹echen, po, pro, dal¹í, ale, jak;;
8.0;13.0;let, jít, vy, èasto, jak, pak, nìkolik, je¹tì, pøípad, nebo;2.0;0.0909
9.0;8.0;tak, pro, stát, první, hodnì, co, její, ne¾, kdy¾, svìt;2.0;0.0909
10.0;9.0;by, hodnì, chtít, dùle¾itý, nebýt, v¹echen, ale, èasto, pro, øíkat;;
11.0;11.0;svìt, jeden, s, tøi, k, já, dva, v¹echen, by, my;1.0;0.0455
12.0;3.0;my, sám, úspìch, ale, tøi, svùj, øíkat, jít, já, v¹echen;;
13.0;3.0;my, sám, úspìch, ale, tøi, svùj, øíkat, jít, já, v¹echen;4.0;0.1818
14.0;3.0;my, sám, úspìch, ale, tøi, svùj, øíkat, jít, já, v¹echen;2.0;0.0909
15.0;19.0;pro, cena, svùj, stát, také, ka¾dý, tak, mezi, právì, tam;1.0;0.0455
16.0;9.0;by, hodnì, chtít, dùle¾itý, nebýt, v¹echen, ale, èasto, pro, øíkat;2.0;0.0909
17.0;3.0;my, sám, úspìch, ale, tøi, svùj, øíkat, jít, já, v¹echen;;
18.0;6.0;moct, já, dva, my, v¹echen, po, pro, dal¹í, ale, jak;;
19.0;13.0;let, jít, vy, èasto, jak, pak, nìkolik, je¹tì, pøípad, nebo;2.0;0.0909
20.0;19.0;pro, cena, svùj, stát, také, ka¾dý, tak, mezi, právì, tam;;
21.0;14.0;podle, dítì, jeho, pro, tento, ale, po, svùj, tak, jeden;;
