slug,category_title,doc2vec,doc2vec-full-text,doc2vec-old,lda_full_text,tfidf,tfidf-full-text,tfidf_full_text,word2vec-cswiki-eval-1,word2vec-eval-1,word2vec-eval-2,word2vec-eval-3,word2vec-eval-4,word2vec-fasttext-full-text,word2vec_eval_3
abych-unikla-stresu-nasla-jsem-si-dumaci-lavicku-rika-sperkarka-prokic,Vztahy,,0.87,,,,0.0,,0.11,0.78,0.0,0.64,0.99,0.92,
biatlonova-unie-chce-aby-rusko-a-belorusko-mely-nadale-pozastavene-clenstvi,Sport,,,,,,,,1.0,,,1.0,,,
biden-oznacil-putina-za-zabijaka-ten-ho-vyzval-k-rozhovoru-pred-kamerami,Zahraničí,0.83,,,,,,,,,,,,,
bjk-cup-jsem-chtela-hrat-snad-na-me-nezanevrou-preje-si-krejcikova,Sport,,,,,0.47,,,,,,,,,
casu-na-sebe-mame-malo-na-syny-mluvime-dvema-jazyky-rikaji-vernerovi,Vztahy,,,,,,,,0.81,,,0.68,,,
cesi-zivotni-pojisteni-podcenuji-radeji-zajisti-auto-byt-nebo-elektroniku,Finance,,,0.2,,,0.0,,0.91,1.0,0.0,0.32,0.8,0.99,
ceske-serialy-za-pandemie-posilily-svou-pozici-vcetne-internetovych,Kultura,0.63,,,,,,,,,,,,,
cestovni-pojisteni-na-dovolenou-porovnali-jsme-ceny-a-nabidku,Finance,,,,,,,,0.67,,,0.59,,,
chotovinsky-katolicky-farar-presel-pred-100-lety-i-s-kostelem-k-husitum,Věda,,,,,0.33,,,,,,,,,
chripkova-sezona-muze-letos-nemile-prekvapit-jak-se-na-ni-pripravit,Zdraví,,0.98,,,,0.0,,0.0,1.0,0.0,0.26,1.0,1.0,
chyby-fauly-unava-hokejova-olomouc-prisla-proti-boleslavi-o-serii,Sport,,,,,0.0,,,,,,,,,
co-vas-muze-do-konce-roku-pripravit-o-penize-a-vysat-ucet,Finance,0.12,,,,,,,,,,,,,
co-vite-o-rakovine-soutezte-v-kvizu-a-vyhrajte-knihu,Zdraví,0.72,,,,,0.0,,0.08,0.58,0.0,1.0,0.77,1.0,
comebacky-soky-a-ukoncena-trapeni-zlin-i-liberec-slavi-sparta-zkolabovala,Sport,,0.62,,,,0.0,,0.16,1.0,0.0,0.45,0.73,0.33,
ctenari-cestuji-ctyri-zeme-za-ctrnact-dnu-nasim-favoritem-se-stala-kanada,Ostatní,,,,,0.28,,,,,,,,,
ctyriasedmdesatileta-babicka-randi-se-sedmadvacetiletym-klape-jim-to,Vztahy,,,,,,,,0.4,,,0.07,,,
debaty-po-plzni-zabraly-hradecti-hokejiste-pak-uspeli-v-karlovych-varech,Sport,,,,,0.36,,,,,,,,,
derby-slavii-vyhral-v-edenu-trebicsky-lidr-litomerice-padly-se-sokolovem,Sport,,0.96,,,,0.0,,0.2,0.0,0.0,0.92,,1.0,
deset-tipu-pro-zdravi-oci-vetrejte-cvicte-a-ctete-s-prestavkami,Zdraví,1.0,,,,,0.0,,0.36,1.0,0.0,0.92,0.71,1.0,
detem-kterym-pomahate-moc-mozek-nepracuje-spravne-rika-specialni-pedagozka,Vztahy,0.99,,,,,0.0,,0.0,0.5,0.0,0.75,0.97,0.82,
disney-zavira-petinu-svych-obchodu-plysaky-chce-prodavat-hlavne-online,Ekonomika,,,,,,,,,,,0.47,,,
drive-schovavala-a-ujidala-cokoladu-dnes-ma-martina-zelenou-lednici,Zdraví,,1.0,,,,0.0,,0.24,,0.0,0.61,1.0,0.48,
dubajska-princezna-se-boji-o-zivot-od-sveho-uteku-je-zavrena-ve-vile,Zahraničí,0.24,,,,,,,,,,,,,
el-clasico-na-hristi-barcelony-ovladl-real-v-cele-zustava-san-sebastian,Zahraničí,,0.64,,,,0.0,,0.06,0.0,0.0,0.55,0.8,0.6,
eva-buresova-porodila-s-premkem-forejtem-dali-synovi-netradicni-jmeno,Vztahy,,,,,,,,0.87,,,0.91,,,
eva-shodila-45-kilo-mam-velikost-s-a-muzi-se-za-mnou-zase-otaceji-rika,Zdraví,,,,,,,,0.94,,,0.92,,,
evropske-akcie-jsou-na-historickem-maximu-smazaly-veskere-covidove-ztraty,Ekonomika,,,,,,,,,,,,,,0.94
exekutor-mi-chce-zabavit-dva-psy-ma-na-to-pravo-odpovidaji-odbornice,Finance,,,,,,,,,,,1.0,,,
fotbalovy-dobrodruh-z-hane-a-jeho-odvazny-sen-postavim-skolu-v-ugande,Zahraničí,,,,,,,0.25,,,,,,,
gabriela-koukalova-exmanzel-me-podvadel-a-myslim-ze-utracel-me-penize,Vztahy,,0.88,,,,0.0,,0.5,0.68,0.0,0.78,0.81,0.94,
hertl-se-nakazil-koronavirem-zapas-jeho-san-jose-se-odklada,Sport,,,,,,,,,,,0.64,,,
herz-mi-v-zivote-daval-svou-moudrost-ale-i-hnev-a-zlobu-rika-hudeckova,Celebrity,0.6,,,,,,,,,,,,,
hokejiste-svycarska-zdolali-na-ms-dvacitek-v-souboji-o-ctvrtfinale-rakousko,Sport,,,,,,,,1.0,,,0.96,,,
hokejovy-utocnik-stransky-zaridil-peti-goly-vyhru-davosu-v-bernu,Sport,0.97,0.45,,,,0.0,,0.08,0.0,0.0,0.61,0.75,0.72,
