Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
iDnes.cz 100% Corpus,0,5,100,20,8,20,1e-05,1,0.06655190326402417,0.2611035433913685,-0.009829152297310307,0.8683193028984549,18.69688385269122,0.0
iDnes.cz 100% Corpus,0,5,450,5,2,25,0.0,0,0.5279893868865349,1.638756518951886e-24,0.527275574983056,1.9392102159959873e-24,8.78186968838527,0.010031621415330934
iDnes.cz 100% Corpus,1,10,50,16,2,20,0.001,1,-0.000899438935680701,0.9871728899234892,-0.033798193355307996,0.5456435532513448,8.78186968838527,0.0
iDnes.cz 100% Corpus,0,5,50,8,8,30,0.01,0,0.5917505794910894,1.6723148530165968e-28,0.5864165765189965,6.649532603765271e-28,18.69688385269122,0.036449595851761475
iDnes.cz 100% Corpus,0,10,300,2,1,30,0.0,0,0.4396657013043716,7.667487401204925e-17,0.45003836432473654,1.1622833017712231e-17,7.64872521246459,0.0047425474254742545
iDnes.cz 100% Corpus,1,15,100,8,3,20,0.0,0,0.5684307682424338,1.934655576786361e-28,0.5636591972258849,6.794768041443318e-28,10.48158640226629,0.00791746641074856
iDnes.cz 100% Corpus,0,5,300,2,0,30,0.0,1,0.01564116008293216,0.7784489121277601,-0.05702303443865248,0.3046755802169587,7.64872521246459,0.0
iDnes.cz 100% Corpus,0,5,50,4,0,20,0.1,0,0.4686350122956315,3.3464883936254773e-19,0.4733004511205826,1.3276636749299745e-19,7.64872521246459,0.018195896244676733
iDnes.cz 100% Corpus,1,10,100,1,5,30,0.01,1,0.022407033024145817,0.6967109633793634,-0.03446617607358378,0.5487511818110731,13.59773371104816,0.0
iDnes.cz 100% Corpus,0,10,158,8,8,25,0.1,1,0.11154171475143716,0.059122249784692264,0.060271389276674456,0.3089007295202328,18.69688385269122,0.0
iDnes.cz 100% Corpus,1,15,100,8,1,30,1e-05,0,0.574632038639842,4.866156670254301e-30,0.561515612738802,1.7587307974509295e-28,7.64872521246459,0.019454123112659698
